id;nombre;llave;valor;auxiliar
1;Sports;Consultant sky blue Handcrafted Frozen Soap;Circles innovative neural;Australian Dollar compressing deposit
2;compressing Intranet;HDD;calculating;Practical
3;Vatu;Village Innovative;Chief;Brooks Handcrafted Wooden Sausages Integration
4;Buckinghamshire Games;Cambridgeshire Paradigm;Hat Pass input;RAM salmon
5;Zambian Kwacha Bahamian Dollar Accounts;Profound real-time Orchestrator;toolset directional;Berkshire Human copy
6;Manat plum withdrawal;e-commerce Marketing Designer;Small contingency;calculate
7;RAM incremental enhance;Savings Account;killer auxiliary Synergistic;Chair Assistant
8;silver Concrete tan;Borders;website;sky blue
9;Buckinghamshire;Executive Lead;Supervisor indexing SMS;Gloves
10;Home Loan Account Sausages;navigate TCP;quantify payment;Mount
