id;nombres;codigo
1;Honduras Pataca unleash;feed Implemented Executive
2;red Handcrafted Wooden Ball firewall;British Indian Ocean Territory (Chagos Archipelago) Shoes
3;Handmade Cotton Soap;Executive Upgradable Car
4;implement;connect deposit fuchsia
5;Loop RAM next-generation;payment intuitive value-added
6;Massachusetts withdrawal mint green;ubiquitous Plastic
7;metrics Rhode Island;Architect Checking Account definition
8;invoice;Specialist Berkshire Group
9;haptic;Fantastic synthesize
10;overriding;Technician
